Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG/SF,Talen Horton-Tucker (14117020),Talen Horton-Tucker,14117020,SG/SF/F/G/UTIL,3000,LAL@OKC 01/11/2020 08:00PM ET,LAL,2.5
PG/SG,Malik Beasley (14116796),Malik Beasley,14116796,PG/SG/G/UTIL,3000,CLE@DEN 01/11/2020 09:00PM ET,DEN,12.04
SG/SF,Torrey Craig (14116902),Torrey Craig,14116902,SG/SF/F/G/UTIL,3000,CLE@DEN 01/11/2020 09:00PM ET,DEN,8.04
SG/SF,PJ Dozier (14116907),PJ Dozier,14116907,SG/SF/F/G/UTIL,3000,CLE@DEN 01/11/2020 09:00PM ET,DEN,0
SF/PF,Juancho Hernangomez (14116912),Juancho Hernangomez,14116912,SF/PF/F/UTIL,3000,CLE@DEN 01/11/2020 09:00PM ET,DEN,7.64
SF,Vlatko Cancar (14116916),Vlatko Cancar,14116916,SF/F/UTIL,3000,CLE@DEN 01/11/2020 09:00PM ET,DEN,1.25
SF/PF,Jarred Vanderbilt (14116919),Jarred Vanderbilt,14116919,SF/PF/F/UTIL,3000,CLE@DEN 01/11/2020 09:00PM ET,DEN,1.25
C,Bol Bol (14116923),Bol Bol,14116923,C/UTIL,3000,CLE@DEN 01/11/2020 09:00PM ET,DEN,0
SF/PF,Alfonzo McKinnie (14117055),Alfonzo McKinnie,14117055,SF/PF/F/UTIL,3000,CLE@DEN 01/11/2020 09:00PM ET,CLE,6.68
PG/SG,Levi Randolph (14117059),Levi Randolph,14117059,PG/SG/G/UTIL,3000,CLE@DEN 01/11/2020 09:00PM ET,CLE,0
PF,Dean Wade (14117063),Dean Wade,14117063,PF/F/UTIL,3000,CLE@DEN 01/11/2020 09:00PM ET,CLE,3.5
SG/SF,Dylan Windler (14117066),Dylan Windler,14117066,SG/SF/F/G/UTIL,3000,CLE@DEN 01/11/2020 09:00PM ET,CLE,0
